id,is_angin_topan,is_banjir,is_erupsi,is_gempa,is_karhutla,is_kekeringan,is_longsor,is_tsunami,multilabel
longsor_0217,0,0,0,0,0,0,0,1,1
gempa_0169,0,0,0,0,0,0,0,0,0
longsor_0285,0,0,0,0,0,0,0,0,0
gempa_0976,0,0,0,0,0,0,0,0,0
angin_topan_0635,0,0,0,0,0,0,0,0,0
banjir_0448,0,1,0,0,0,0,0,0,64
gempa_0225,0,0,0,1,0,0,0,0,16
banjir_0801,0,0,0,0,0,0,0,0,0
gempa_0376,0,0,0,0,0,0,0,0,0
kekeringan_0138,0,0,0,0,0,0,0,0,0
erupsi_0543,0,0,0,0,0,0,0,0,0
longsor_0169,0,0,0,0,0,0,0,0,0
longsor_1191,0,0,0,0,0,0,0,0,0
erupsi_0114,0,0,0,0,0,0,0,0,0
erupsi_0189,0,0,0,0,0,0,0,0,0
karhutla_0846,0,0,0,0,1,0,0,0,8
angin_topan_0846,0,0,0,0,0,0,0,0,0
longsor_1106,0,0,0,0,0,0,0,0,0
kekeringan_0511,0,0,0,0,1,0,0,0,8
longsor_1169,0,1,0,0,0,0,0,0,64
banjir_1207,0,0,0,0,0,0,0,0,0
angin_topan_0237,0,0,0,0,0,0,0,0,0
longsor_1024,0,0,0,0,0,0,1,0,2
banjir_0790,0,0,0,0,0,0,0,0,0
erupsi_0015,0,0,0,0,0,0,0,0,0
angin_topan_0266,0,0,0,0,0,0,0,0,0
angin_topan_0414,0,0,0,0,0,0,0,0,0
longsor_0783,0,0,0,1,0,0,0,0,16
kekeringan_0672,0,0,0,0,0,0,0,0,0
longsor_0752,0,0,0,0,0,0,0,0,0
banjir_0833,0,1,0,0,0,0,0,0,64
erupsi_0389,0,0,0,0,0,0,0,0,0
karhutla_0435,0,0,0,0,0,0,0,0,0
longsor_0883,0,0,0,0,0,0,0,0,0
tsunami_0517,0,0,0,0,0,0,0,0,0
karhutla_0458,0,0,0,0,1,0,0,0,8
banjir_0599,0,1,0,0,0,0,0,0,64
angin_topan_0383,0,1,0,0,0,0,1,0,66
angin_topan_0584,1,0,0,0,0,0,0,0,128
karhutla_0627,0,0,0,0,0,0,0,0,0
karhutla_0393,0,0,0,0,0,0,0,0,0
longsor_0471,0,0,0,0,0,0,0,0,0
longsor_0662,0,0,0,0,0,0,1,0,2
banjir_0295,0,0,0,0,0,0,0,0,0
kekeringan_0072,0,0,0,0,0,1,0,0,4
erupsi_0027,0,0,1,0,0,0,0,0,32
erupsi_0797,0,0,0,0,0,0,0,0,0
kekeringan_0921,0,0,0,0,0,0,0,0,0
kekeringan_1018,0,0,0,0,0,1,0,0,4
banjir_0192,0,0,0,0,0,0,0,0,0
banjir_0522,0,0,0,0,0,0,0,0,0
longsor_0364,0,0,0,0,0,0,0,0,0
tsunami_0512,0,0,0,1,0,0,0,1,17
banjir_0569,0,0,0,0,0,0,0,0,0
angin_topan_1164,1,0,0,0,0,0,0,0,128
karhutla_0766,0,0,0,0,1,0,0,0,8
gempa_1042,0,0,0,0,0,0,0,0,0
gempa_0712,0,0,0,0,0,0,0,0,0
longsor_0889,0,0,0,0,0,0,0,0,0
banjir_1081,0,1,0,0,0,0,0,0,64
karhutla_0100,0,0,0,0,0,0,0,0,0
erupsi_0043,0,0,0,1,0,0,0,0,16
kekeringan_0834,0,0,0,0,0,1,0,0,4
angin_topan_0291,0,0,0,0,0,0,1,0,2
tsunami_0276,0,0,0,0,0,0,0,1,1
gempa_0181,0,0,0,0,0,0,0,0,0
banjir_0447,0,0,0,0,0,0,0,0,0
karhutla_0207,0,0,0,0,0,0,0,0,0
erupsi_0513,0,0,0,0,0,0,0,0,0
karhutla_0988,0,0,0,0,0,0,0,0,0
banjir_1088,0,1,0,0,0,0,0,0,64
tsunami_0853,0,0,0,0,0,0,0,0,0
erupsi_0769,0,0,0,0,0,0,0,0,0
banjir_0986,0,0,0,0,0,0,0,0,0
angin_topan_1126,0,0,0,0,0,0,0,0,0
karhutla_0324,0,0,0,0,1,0,0,0,8
tsunami_0509,0,0,0,0,0,0,0,0,0
banjir_0709,0,1,0,0,0,0,0,0,64
tsunami_1056,0,0,0,0,0,0,0,1,1
karhutla_0230,0,0,0,0,0,0,0,0,0
tsunami_0028,0,0,0,0,0,0,0,0,0
erupsi_0751,0,0,0,0,0,0,0,0,0
gempa_0013,0,0,0,1,0,0,0,0,16
kekeringan_0473,0,0,0,0,0,1,0,0,4
kekeringan_0974,0,0,0,0,0,0,0,0,0
gempa_0220,0,0,0,0,0,0,0,0,0
tsunami_0609,0,0,1,0,0,0,0,1,33
angin_topan_0843,0,0,0,0,0,0,0,0,0
longsor_0926,0,1,0,0,0,0,1,0,66
banjir_0359,0,1,0,0,0,0,0,0,64
banjir_1192,0,0,0,0,0,0,0,0,0
tsunami_0281,0,0,0,0,0,0,0,0,0
tsunami_0741,0,0,0,0,0,0,0,0,0
karhutla_0195,0,0,0,0,1,0,0,0,8
angin_topan_0443,0,0,0,0,0,0,0,0,0
banjir_0041,0,0,0,0,0,0,0,0,0
angin_topan_1112,1,0,0,0,0,0,0,0,128
tsunami_0380,0,0,0,0,0,0,0,1,1
gempa_0370,0,0,0,0,0,0,0,0,0
tsunami_0667,0,0,0,0,0,0,0,1,1
erupsi_0563,0,0,1,0,0,0,0,0,32
karhutla_0384,0,0,0,0,0,0,0,0,0
angin_topan_0497,0,0,0,0,0,0,0,0,0
banjir_0746,0,0,0,0,0,0,0,0,0
banjir_0627,0,1,0,0,0,0,0,0,64
karhutla_0975,0,0,0,0,0,0,0,0,0
kekeringan_0857,0,0,0,0,0,1,0,0,4
kekeringan_0544,0,0,0,0,0,0,0,0,0
kekeringan_0874,0,0,0,0,0,0,0,0,0
banjir_1158,0,0,0,0,0,0,0,0,0
tsunami_0272,0,0,0,0,0,0,0,1,1
erupsi_0807,0,0,0,0,0,0,0,0,0
tsunami_1085,0,0,0,1,0,0,0,0,16
kekeringan_0640,0,0,0,0,0,0,0,0,0
angin_topan_0145,0,0,0,0,0,0,0,0,0
kekeringan_0012,0,0,0,0,0,0,0,0,0
karhutla_0472,0,0,0,0,0,0,0,0,0
banjir_0568,0,0,0,0,0,0,0,0,0
banjir_0449,0,1,0,0,0,0,0,0,64
angin_topan_0472,0,0,0,0,0,0,0,0,0
erupsi_0379,0,0,0,0,0,0,0,0,0
gempa_0466,0,0,0,0,0,0,0,0,0
erupsi_0932,0,0,0,0,0,0,0,0,0
angin_topan_0589,0,0,0,0,0,0,0,0,0
longsor_1055,0,0,0,0,0,0,0,0,0
erupsi_0489,0,0,0,0,0,0,0,0,0
erupsi_0995,0,0,0,0,0,0,0,0,0
karhutla_0545,0,0,0,0,0,0,0,0,0
angin_topan_0392,0,0,0,0,0,0,0,0,0
erupsi_1067,0,0,0,0,0,0,0,0,0
karhutla_0242,0,0,0,0,0,0,0,0,0
kekeringan_0003,0,0,0,0,0,0,0,0,0
erupsi_0180,0,0,0,0,0,0,0,1,1
karhutla_0626,0,0,0,0,1,0,0,0,8
tsunami_0137,0,0,0,0,0,0,0,0,0
tsunami_0219,0,0,0,0,0,0,0,0,0
angin_topan_0971,0,0,0,0,0,0,0,0,0
erupsi_0181,0,0,0,0,0,0,0,0,0
karhutla_0395,0,0,0,0,0,0,0,0,0
tsunami_0043,0,0,0,0,0,0,0,0,0
tsunami_0477,0,0,0,0,0,0,0,0,0
tsunami_0420,0,0,0,0,0,0,0,1,1
angin_topan_1192,0,0,0,0,0,0,0,0,0
erupsi_0835,0,0,0,0,0,0,1,0,2
karhutla_1131,0,0,0,0,0,0,0,0,0
longsor_1124,0,1,0,0,0,0,1,0,66
banjir_0664,0,0,0,0,0,0,0,0,0
banjir_1227,0,0,0,0,0,0,0,0,0
longsor_0318,0,0,0,0,0,0,1,0,2
tsunami_1031,0,0,0,0,0,0,0,0,0
kekeringan_0882,0,0,0,0,0,0,0,0,0
kekeringan_1075,0,0,0,0,0,0,0,0,0
longsor_0908,0,0,0,0,0,0,0,0,0
banjir_1159,0,1,0,0,0,0,0,0,64
kekeringan_0561,0,0,0,0,0,0,0,0,0
erupsi_0023,0,0,0,0,0,0,0,0,0
karhutla_0586,0,0,0,0,0,0,0,0,0
tsunami_0577,0,0,0,0,0,0,0,0,0
karhutla_0132,0,0,0,0,0,0,0,0,0
angin_topan_0779,0,0,0,0,0,0,0,0,0
angin_topan_0144,1,0,0,0,0,0,0,0,128
longsor_0497,0,0,0,0,0,0,1,0,2
angin_topan_0598,0,0,0,0,0,0,0,0,0
gempa_0929,0,0,0,0,0,0,0,0,0
kekeringan_0470,0,0,0,0,0,0,0,0,0
gempa_0521,0,0,0,0,0,0,0,0,0
angin_topan_0186,0,0,0,0,0,0,0,0,0
longsor_0970,0,0,0,0,0,0,1,0,2
gempa_0901,0,0,0,0,0,0,0,0,0
erupsi_0200,0,0,0,0,0,0,0,0,0
banjir_1174,0,1,0,0,0,0,0,0,64
kekeringan_1010,0,0,0,0,0,0,0,0,0
longsor_0608,0,0,0,0,0,0,0,0,0
gempa_0086,0,0,0,0,0,0,0,0,0
tsunami_0521,0,0,0,0,0,0,0,1,1
tsunami_0312,0,0,0,0,0,0,0,0,0
kekeringan_0248,0,0,0,0,0,0,0,0,0
longsor_0100,0,0,0,0,0,0,0,0,0
tsunami_0666,0,0,1,0,0,0,0,0,32
longsor_0222,0,0,0,0,0,0,1,0,2
angin_topan_0396,0,0,0,0,0,0,0,0,0
erupsi_0771,0,0,0,0,0,0,0,0,0
gempa_0125,0,0,0,0,0,0,0,0,0
longsor_0034,0,0,0,0,0,0,1,0,2
gempa_1206,0,0,1,0,0,0,0,0,32
tsunami_0237,0,0,0,0,0,0,0,0,0
gempa_1050,0,0,0,0,0,0,0,0,0
angin_topan_0080,0,0,0,0,0,0,0,0,0
kekeringan_1046,0,0,0,0,0,0,0,0,0
gempa_1094,0,0,0,0,0,0,0,0,0
tsunami_1142,0,0,0,1,0,0,0,1,17
karhutla_0322,0,0,0,0,0,0,0,0,0
karhutla_0849,0,0,0,0,1,0,0,0,8
tsunami_0665,0,0,0,0,0,0,0,0,0
longsor_0091,0,0,0,0,0,0,1,0,2
angin_topan_0824,0,0,0,0,0,0,0,0,0
banjir_0052,0,0,0,0,0,0,0,0,0
banjir_0314,0,0,0,0,0,0,0,0,0
erupsi_0169,0,0,1,0,0,0,0,0,32
longsor_0509,0,0,0,0,0,0,0,0,0
erupsi_1055,0,0,0,0,0,0,0,0,0
banjir_0898,0,0,0,0,0,0,0,0,0
erupsi_0309,0,0,0,0,0,0,0,0,0
banjir_0621,0,1,0,0,0,0,0,0,64
karhutla_0787,0,0,0,0,0,0,0,0,0
karhutla_1057,0,0,0,0,1,0,0,0,8
gempa_0704,0,0,0,1,0,0,0,0,16
kekeringan_0585,0,0,0,0,0,0,0,0,0
gempa_0696,0,0,0,0,0,0,0,0,0
erupsi_0171,0,0,0,0,0,0,0,0,0
karhutla_0620,0,0,0,0,0,0,0,0,0
longsor_0920,0,0,0,0,0,0,0,0,0
karhutla_0618,0,0,0,0,0,0,0,0,0
angin_topan_0219,0,0,0,0,0,0,0,0,0
erupsi_0103,0,0,0,1,0,0,0,0,16
tsunami_0761,0,0,0,0,0,0,0,1,1
angin_topan_0155,0,0,0,0,0,0,0,0,0
gempa_0857,0,0,1,0,0,0,0,0,32
gempa_0326,0,0,0,1,0,0,0,0,16
angin_topan_1014,1,0,0,0,0,0,0,0,128
angin_topan_0148,0,0,0,0,0,0,0,0,0
erupsi_0296,0,0,0,0,0,0,0,0,0
tsunami_0941,0,0,0,1,0,0,0,0,16
kekeringan_0228,0,0,0,0,0,0,0,0,0
banjir_0066,0,0,0,0,0,0,0,0,0
karhutla_0862,0,0,0,0,0,0,0,0,0
angin_topan_0863,0,0,0,0,0,0,0,0,0
longsor_0851,0,0,0,0,0,0,0,0,0
angin_topan_0880,0,0,0,0,0,0,0,0,0
longsor_0198,0,0,0,1,0,0,0,0,16
kekeringan_0250,0,0,0,0,0,0,0,0,0
gempa_0038,0,0,0,1,0,0,0,0,16
tsunami_0879,0,0,0,0,0,0,0,1,1
banjir_1219,0,0,0,0,0,0,0,0,0
longsor_1133,1,0,0,0,0,0,0,0,128
banjir_1136,0,0,0,0,0,0,0,0,0
tsunami_0419,0,0,0,0,0,0,0,1,1
banjir_0284,0,0,0,0,0,0,0,0,0
karhutla_0585,0,0,0,0,0,0,0,0,0
karhutla_0247,0,0,0,0,0,0,0,0,0
angin_topan_0382,0,0,0,0,0,0,0,0,0
longsor_0301,0,0,0,0,0,0,0,0,0
tsunami_0044,0,0,0,0,0,0,0,0,0
longsor_0839,0,1,0,0,0,0,0,0,64
karhutla_0588,0,0,0,0,1,0,0,0,8
banjir_0358,0,1,0,0,0,0,0,0,64
tsunami_0182,0,0,0,0,0,0,0,1,1
banjir_0704,0,0,0,0,0,0,0,0,0
angin_topan_0461,0,0,0,0,0,0,0,0,0
kekeringan_0190,0,0,0,0,0,0,0,0,0
kekeringan_0644,0,0,0,0,0,0,0,0,0
erupsi_0090,0,0,0,0,0,0,0,0,0
gempa_0219,0,0,0,1,0,0,0,0,16
gempa_0462,0,0,0,1,0,0,1,0,18
tsunami_0823,0,0,0,1,0,0,0,0,16
banjir_0265,0,1,0,0,0,0,0,0,64
kekeringan_0733,0,0,0,0,0,0,0,0,0
angin_topan_0877,0,0,0,0,0,0,0,0,0
tsunami_0700,0,0,0,0,0,0,0,0,0
kekeringan_0765,0,0,0,0,0,0,0,0,0
longsor_1028,0,0,0,0,0,0,0,0,0
longsor_1180,0,0,0,0,0,0,0,0,0
kekeringan_1038,0,0,0,0,0,0,0,0,0
tsunami_1140,0,0,0,0,0,0,0,0,0
karhutla_1047,0,0,0,0,0,0,0,0,0
erupsi_0228,0,0,1,0,0,0,0,0,32
angin_topan_0755,0,0,0,0,0,0,0,0,0
gempa_0669,0,0,0,0,0,0,0,0,0
karhutla_0910,0,0,0,0,0,0,0,0,0
kekeringan_0352,0,0,0,0,0,0,0,0,0
longsor_0239,0,0,0,0,0,0,1,0,2
gempa_0371,0,0,0,0,0,0,0,0,0
longsor_0185,0,0,0,0,0,0,1,0,2
longsor_1176,0,0,0,0,0,0,1,0,2
angin_topan_1128,1,0,0,0,0,0,1,0,130
gempa_0358,0,0,0,0,0,0,0,0,0
longsor_0817,0,1,0,0,0,0,0,0,64
longsor_0349,0,0,0,0,0,0,1,0,2
angin_topan_0849,0,0,0,0,0,0,0,0,0
gempa_0016,0,0,0,1,0,0,0,0,16
erupsi_0534,0,0,0,0,0,0,0,0,0
longsor_0127,0,0,0,0,0,0,0,0,0
tsunami_0207,0,0,0,0,0,0,0,1,1
karhutla_0584,0,0,0,0,1,0,0,0,8
gempa_0993,0,0,0,0,0,0,0,0,0
angin_topan_0260,0,0,0,0,0,0,0,0,0
tsunami_0200,0,0,0,0,0,0,0,0,0
erupsi_0852,0,0,0,0,0,0,0,0,0
erupsi_1079,0,0,1,0,0,0,0,0,32
erupsi_0227,0,0,0,0,0,0,0,0,0
